,LocationCode,LocationDescription,CoordinateNB,CoordinateOL,A121,AWG1,"BSA (BSA1, BSA2)",BTA1,BTC1,D151 (D152),EPL1 (EPL2),F161,F31,GAN1,HAEW1,HKN,HKZA,J61 (J62),K131 (K132),K141,L91,LEG1 (LEG2),NC1,NLS1,P111 (P112),A122,EPL3,HAEW2,K133,BUBW,DWE1,E131,IJG1,MMND,MUN1,MUN2,OS11b,OS4b,SCB2,SCHB,SMN1,SMWG,SPY1,STM1
13,J61 (J62),J6 Platform,53.816632,2.95001,"(55.80151939187938, 177.9153296740197)","(197.11718934932605, -36.13746160006903)","(7.17994353433263, -235.36752437273046)","(-74.5097881536234, 802.6336688114982)","(-73.49160630453547, 809.4410222206793)","(-1.0882418309311446, 55.60091036500491)","(21.799670620964303, -202.2447796238491)","(69.77139123625344, 33.36259220565351)","(114.53940113281143, 114.90472298220138)","(-122.81196298070641, 374.5487685196778)","(-41.38793213183523, 371.82738388497904)","(89.36823191728023, -124.41177801538475)","(73.03479143668955, -166.470480654202)","(0.0, 0.0)","(17.779786510321482, -66.67492430446372)","(45.151244090659084, -61.15298424729481)","(132.7017105333433, -22.23487111662593)","(48.31601649613185, -210.25704125814963)","(-106.3536208470488, 836.3588676729404)","(-112.99080875418092, 427.550942254074)","(26.14481659188613, -162.11797764055478)","(55.18945359626732, 176.1736835379867)","(21.222598078333473, -202.24489081877618)","(-41.38793213183523, 371.82738388497904)","(17.356806870276667, -66.83170915103216)","(1.4949582954578218, -224.79299804375984)","(3.2846139685784648, -207.83577173046498)","(52.67937771609144, -200.97726865502813)","(87.99810910443203, -147.51252402579138)","(70.75459243122891, -202.83422392999194)","(74.19381897788723, -139.45311574259387)","(75.16537257974463, -139.05170205740706)","(35.709998746427424, -241.66460426353865)","(50.087406543258844, -240.2646601370831)","(24.227819778065548, -230.14258596462935)","(25.049410613248224, -229.51322267982172)","(211.63598338069502, -24.663257119616382)","(203.26228908246952, -32.303460529364344)","(104.54435309964259, -150.43517147771757)","(134.75465738011752, -54.5124232280815)"
14,K131 (K132),K13 Alpha,53.21701,3.218932,"(38.769521685545804, 244.59025397848342)","(180.66838180443918, 30.537462704394684)","(-10.991573412966583, -168.69260006826676)","(-91.35006164692471, 869.3085931159619)","(-90.31084446878758, 876.115946525143)","(-18.770788542514055, 122.27583466946862)","(3.7910950419114533, -135.56985531938537)","(52.5555511062711, 100.03751651011723)","(97.81068205094904, 181.5796472866651)","(-140.81082367146178, 441.22369282414155)","(-58.77306013619043, 438.5023081894428)","(71.97972384237396, -57.73685371092103)","(55.44982772333808, -99.79555634973826)","(-17.779786510321482, 66.67492430446372)","(0.0, 0.0)","(27.57543043033759, 5.521940057168907)","(115.82404433468606, 44.44005318783779)","(30.475215834034206, -143.58211695368593)","(-123.3928397910777, 903.0337919774041)","(-130.82045338027552, 494.22586655853775)","(8.242348696154835, -95.44305333609107)","(38.14951735916637, 242.8486078424504)","(3.210036481128131, -135.56996651431245)","(-58.77306013619043, 438.5023081894428)","(-0.42626465111534945, -0.15678484656843328)","(-16.695911617839283, -158.11807373929614)","(-14.862287496281382, -141.16084742600128)","(34.88652533507438, -134.3023443505644)","(70.55444709274485, -80.83759972132766)","(53.08299970556973, -136.1592996255282)","(56.6697166592425, -72.77819143813015)","(57.64883582884936, -72.37677775294333)","(17.7225067341949, -174.98967995907495)","(32.20126389197394, -173.58973583261937)","(6.183282326692626, -163.46766166016565)","(7.011711246573416, -162.838298375358)","(195.31468201074702, 42.01166718484733)","(186.86522957649782, 34.37146377509938)","(87.21018789445579, -83.76024717325387)","(117.8257447402589, 12.162501076382215)"
15,K141,K14 Platform,53.26667,3.63333,"(11.884372189204786, 239.0683139213145)","(153.07623933416218, 25.01552264722578)","(-39.04712148822901, -174.21454012543566)","(-116.28341089524196, 863.786653058793)","(-115.22413490998716, 870.5940064679742)","(-45.97958583972937, 116.75389461229972)","(-24.1776994462013, -141.09179537655427)","(25.239830440360514, 94.51557645294832)","(70.70569623737168, 176.0577072294962)","(-167.00381832349262, 435.7017527669726)","(-85.02531736512083, 432.98036813227384)","(44.19595987385207, -63.258793768089944)","(27.55448412035951, -105.31749640690717)","(-45.151244090659084, 61.15298424729481)","(-27.57543043033759, -5.521940057168907)","(0.0, 0.0)","(88.30989735492078, 38.91811313066888)","(2.468289887247618, -149.10405701085483)","(-148.201670857058, 897.5118519202351)","(-156.86128252394934, 488.70392650136887)","(-19.613534413779348, -100.96499339325999)","(11.259631527794012, 237.3266677852815)","(-24.758428829162515, -141.09190657148136)","(-85.02531736512083, 432.98036813227384)","(-28.001902209387598, -5.678724903737341)","(-44.71788487839935, -163.64001379646504)","(-42.83657825195467, -146.6827874831702)","(6.903736737428955, -139.8242844077333)","(42.704997797723394, -86.35953977849657)","(25.08456235939953, -141.68123968269714)","(28.85141346054133, -78.30013149529906)","(29.83112757473512, -77.89871781011225)","(-10.36728532727235, -180.51162001624385)","(4.107323946475289, -179.11167588978827)","(-21.86696627240929, -168.98960171733455)","(-21.037199557694947, -168.3602384325269)","(167.74710608311915, 36.48972712767843)","(159.2805373204409, 28.849523717930467)","(59.34280627751707, -89.28218723042278)","(90.21712005042595, 6.640561019213308)"
16,L91,L9 Platform,53.616669,4.966667,"(-74.22636311196916, 200.1502007906456)","(64.37053141186996, -13.902590483443102)","(-128.8214571574124, -213.13265325610453)","(-195.77285112578377, 824.8685399281242)","(-194.65126685327354, 831.6758933373053)","(-133.00253995484152, 77.83578148163085)","(-113.7040262580425, -180.00990850722317)","(-62.28930860663597, 55.597463322279445)","(-16.248547092036702, 137.1395940988273)","(-250.45530088794723, 396.78363963630375)","(-168.86402373072923, 394.06225500160497)","(-44.88330682384483, -102.17690689875883)","(-61.84768923512657, -144.23560953757604)","(-132.7017105333433, 22.23487111662593)","(-115.82404433468606, -44.44005318783779)","(-88.30989735492078, -38.91811313066888)","(0.0, 0.0)","(-87.23896757822999, -188.0221701415237)","(-227.20529235210913, 858.5937387895663)","(-239.84289557673645, 449.78581337069994)","(-108.78524527097619, -139.88310652392886)","(-74.86492816672545, 198.40855465461263)","(-114.2824313161839, -180.01001970215026)","(-168.86402373072923, 394.06225500160497)","(-116.25023809375135, -44.59683803440622)","(-134.37147737872075, -202.5581269271339)","(-132.34016097291317, -185.60090061383906)","(-82.73530314032567, -178.7423975384022)","(-46.582534039325225, -125.27765290916545)","(-64.6444742774543, -180.599352813366)","(-60.30533983351177, -117.21824462596794)","(-59.32586227784677, -116.81683094078112)","(-100.31412799493687, -219.42973314691272)","(-85.8841658355774, -218.02978902045714)","(-111.66131020087208, -207.90771484800342)","(-110.82901850461928, -207.2783515631958)","(79.0871741312061, -2.428386002990454)","(70.58478198719513, -10.068589412738412)","(-30.039004117335242, -128.20030036109165)","(1.599244673689997, -32.27755211145557)"
17,LEG1 (LEG2),LE Goeree,51.925745,3.669874,"(9.670089855695618, 388.1723709321693)","(153.01386297968978, 174.1195796580806)","(-42.15173772356589, -25.110483114580823)","(-120.62681552880251, 1012.8907100696479)","(-119.54905480952479, 1019.698063478829)","(-49.14994846132975, 265.8579516231545)","(-27.05039497219468, 8.01226163430054)","(23.195763786618993, 243.61963346380315)","(69.41861022943897, 325.16176424035103)","(-172.16330575885323, 584.8058097778274)","(-88.80892977758634, 582.0844251431287)","(42.39450009776752, 85.84526324276489)","(25.482390544041397, 43.786560603947656)","(-48.31601649613185, 210.25704125814963)","(-30.475215834034206, 143.58211695368593)","(-2.468289887247618, 149.10405701085483)","(87.23896757822999, 188.0221701415237)","(0.0, 0.0)","(-153.12803406108918, 1046.61590893109)","(-161.86035993366588, 637.8079835122237)","(-22.408485781236664, 48.13906361759484)","(9.03470240096213, 386.43072479613636)","(-27.639983016879622, 8.012150439373455)","(-88.80892977758634, 582.0844251431287)","(-30.908367785412608, 143.4253321071175)","(-47.90705886455946, -14.53595678561021)","(-45.994709884821035, 2.421269527684649)","(4.505508049333896, 9.279772603121517)","(40.87218362836904, 62.744517232358255)","(22.9631449786559, 7.422817328157699)","(26.807989394035477, 70.80392551555578)","(27.802934215798356, 71.20533920074259)","(-13.038186537578332, -31.407563005389026)","(1.6561715279136142, -30.00761887893345)","(-24.70989769768482, -19.885544706479724)","(-23.867406001181465, -19.256181421672085)","(167.9225909352171, 185.59378413853327)","(159.31796699328407, 177.95358072878528)","(57.76490024613736, 59.82186978043205)","(89.16045589859391, 155.74461803006812)"
18,NC1,North Cormorant,61.338188,1.166099,"(154.5333429520819, -658.4435379989206)","(285.9494723472337, -872.4963292730095)","(115.97320820127905, -1071.7263920456708)","(28.902461515965463, -33.72519886144213)","(29.729945505147555, -26.917845452261005)","(104.63455481933157, -780.7579573079355)","(128.85939841604323, -1038.6036472967894)","(169.2448692902399, -802.9962754672869)","(208.66420960425947, -721.454144690739)","(-9.440042958190633, -461.81009915326257)","(64.07228894982163, -464.53148378796135)","(189.30731047852683, -960.7706456883251)","(175.03672830243926, -1002.8293483271424)","(106.3536208470488, -836.3588676729404)","(123.3928397910777, -903.0337919774041)","(148.201670857058, -897.5118519202351)","(227.20529235210913, -858.5937387895663)","(153.12803406108918, -1046.61590893109)","(0.0, 0.0)","(-1.1907387973845889, -408.8079254188663)","(132.28088285189688, -998.4768453134951)","(154.0036826039371, -660.1851841349537)","(128.33363068226578, -1038.6037584917165)","(64.07228894982163, -464.53148378796135)","(123.01038035466397, -903.1905768239725)","(110.65341375636702, -1061.1518657167003)","(112.06335062743389, -1044.1946394034053)","(156.97638324161463, -1037.3361363279685)","(188.3911744385176, -983.8713916987317)","(173.47035042415484, -1039.1930916029323)","(175.71116721514838, -975.8119834155342)","(176.5898073957233, -975.4105697303474)","(142.06510021084705, -1078.023471936479)","(155.1531485158949, -1076.6235278100235)","(131.44381320454426, -1066.5014536375697)","(132.18428969349043, -1065.8720903527621)","(298.95659134226713, -861.0221247925567)","(291.4718344893871, -868.6623282023047)","(203.49601311537114, -986.7940391506579)","(229.55745157687414, -890.8712909010219)"
19,NLS1,Nelson platform,57.66169,1.145,"(163.79795150147692, -249.63561258005436)","(301.47972931512913, -463.6884038541431)","(122.89453293182153, -662.9184666268045)","(31.769182893356458, 375.0827265574242)","(32.64561468364044, 381.8900799666053)","(111.2286382229697, -371.9500318890691)","(136.4295329131728, -629.7957218779231)","(179.07044817076232, -394.18835004842055)","(220.61118275450696, -312.64621927187267)","(-8.681205132254014, -53.00217373439621)","(68.7575228492566, -55.723558369095)","(199.90692958674023, -551.9627202694588)","(184.88242698659016, -594.021422908276)","(112.99080875418092, -427.550942254074)","(130.82045338027552, -494.22586655853775)","(156.86128252394934, -488.70392650136887)","(239.84289557673645, -449.78581337069994)","(161.86035993366588, -637.8079835122237)","(1.1907387973845889, 408.8079254188663)","(0.0, 0.0)","(140.05456227139794, -589.6689198946289)","(163.23878238438252, -251.37725871608734)","(135.87839149971515, -629.7958330728502)","(68.7575228492566, -55.723558369095)","(130.41895461436013, -494.3826514051062)","(117.32757086359914, -652.3439402978339)","(118.81852786572266, -635.386713984539)","(165.90491328234384, -628.5282109091022)","(198.9126024557187, -575.0634662798655)","(183.19264795103007, -630.385166184066)","(185.62559091678878, -567.0040579966679)","(186.54763720276725, -566.6026443114811)","(150.23199453948152, -669.2155465176127)","(163.94897530046856, -667.8156023911571)","(139.1123941605345, -657.6935282187034)","(139.8890289290171, -657.0641649338958)","(315.16102568485286, -452.2141993736904)","(307.2855263660408, -459.8544027834384)","(214.74875836734682, -577.9861137317916)","(242.25280069796997, -482.0633654821555)"
20,P111 (P112),P11 Platform,52.35867,3.3415,"(31.140323945897457, 340.0333073145745)","(174.26615102918475, 125.98051604048575)","(-19.483720606584427, -73.24954673217567)","(-99.88947062478601, 964.751646452053)","(-98.83337936213015, 971.5589998612342)","(-27.099946000031455, 217.7188880055597)","(-4.529223505521243, -40.12680198329431)","(44.93245044112822, 195.4805698462083)","(90.73072692743185, 277.0227006227562)","(-150.1861116490503, 536.6667461602326)","(-67.2685662926699, 533.9453615255338)","(64.40063383035856, 37.706199625170036)","(47.667727889242656, -4.352503013647189)","(-26.14481659188613, 162.11797764055478)","(-8.242348696154835, 95.44305333609107)","(19.613534413779348, 100.96499339325999)","(108.78524527097619, 139.88310652392886)","(22.408485781236664, -48.13906361759484)","(-132.28088285189688, 998.4768453134951)","(-140.05456227139794, 589.6689198946289)","(0.0, 0.0)","(30.51225046733851, 338.29166117854146)","(-5.11596000661549, -40.126913178221386)","(-67.2685662926699, 533.9453615255338)","(-8.673005481623415, 95.28626848952264)","(-25.23485941842321, -62.67502040320505)","(-23.369469282650744, -45.71779408991019)","(26.87119896636194, -38.85929101447333)","(62.939021275097794, 14.605453614763409)","(45.24379183486159, -40.716246289437144)","(48.92496787332085, 22.664861897960925)","(49.91413102338924, 23.066275583147743)","(9.503944584232626, -79.54662662298387)","(24.124526905725578, -78.1466824965283)","(-2.137486009840182, -68.02460832407456)","(-1.3004609330025927, -67.39524503926692)","(189.07301169384158, 137.4547205209384)","(180.52967594810838, 129.81451711119044)","(79.75608777792962, 11.682806162837206)","(110.77327646555659, 107.6055544124733)"
21,A122,A12 platform meetboei,55.401,3.807,"(0.6105034870187236, 1.7416461360329931)","(137.9849705852173, -212.31114513805574)","(-49.56625317182248, -411.54120791071716)","(-123.08005892398853, 626.4599852735115)","(-122.03885033978038, 633.2673386826926)","(-55.91732433715376, -120.57277317298178)","(-35.01651617939019, -378.4184631618358)","(13.452765768216782, -142.81109133233318)","(57.835262589258406, -61.26896055578531)","(-173.2120061138986, 198.37508498169112)","(-93.45109645882302, 195.65370034699234)","(31.759291959891428, -300.58546155337143)","(15.48485339233547, -342.64416419218867)","(-55.18945359626732, -176.1736835379867)","(-38.14951735916637, -242.8486078424504)","(-11.259631527794012, -237.3266677852815)","(74.86492816672545, -198.40855465461263)","(-9.03470240096213, -386.43072479613636)","(-154.0036826039371, 660.1851841349537)","(-163.23878238438252, 251.37725871608734)","(-30.51225046733851, -338.29166117854146)","(0.0, 0.0)","(-35.58298202810019, -378.41857435676286)","(-93.45109645882302, 195.65370034699234)","(-38.56549251763794, -243.00539268901883)","(-55.08371510053982, -400.96668158174657)","(-53.22487947709311, -384.0094552684517)","(-4.69697834821693, -377.1509521930148)","(30.28105991018785, -323.68620756377805)","(13.035121137847229, -379.0079074679786)","(16.779711646327016, -315.62679928058054)","(17.735560591954986, -315.22538559539373)","(-21.595017321164526, -417.8382878015254)","(-7.471990147343118, -416.4383436750698)","(-32.798999706011124, -406.3162695026161)","(-31.988702119608732, -405.6869062178084)","(152.29189456677477, -200.83694065760307)","(144.03493844578813, -208.47714406735105)","(46.50369738323925, -326.6088550157043)","(76.69608061869442, -230.6861067660682)"
22,EPL3,Europlatform - meetboei,51.9978,3.26647,"(36.21288228215936, 380.1602204927959)","(180.0421397591531, 166.10742921870715)","(-14.408480501577646, -33.12263355395428)","(-95.76500278108492, 1004.8785596302744)","(-94.70812443910107, 1011.6859130394555)","(-22.21185234241741, 257.8458011837811)","(0.5891137566928273, 0.00011119492708422385)","(50.135892063178154, 235.60748302442968)","(96.08937300322837, 317.1496138009776)","(-146.02120005478298, 576.7936593384541)","(-62.73269920660791, 574.0722747037552)","(69.76132587865906, 77.83311280339143)","(52.98020167742393, 35.7744101645742)","(-21.222598078333473, 202.24489081877618)","(-3.210036481128131, 135.56996651431245)","(24.758428829162515, 141.09190657148136)","(114.2824313161839, 180.01001970215026)","(27.639983016879622, -8.012150439373455)","(-128.33363068226578, 1038.6037584917165)","(-135.87839149971515, 629.7958330728502)","(5.11596000661549, 40.126913178221386)","(35.58298202810019, 378.41857435676286)","(0.0, 0.0)","(-62.73269920660791, 574.0722747037552)","(-3.642394613601205, 135.41318166774403)","(-20.188417670461202, -22.548107224983667)","(-18.324498139378463, -5.5908809116888065)","(32.116131490517446, 1.2676221637480605)","(68.30471420075993, 54.7323667929848)","(50.56408381433349, -0.5893331112157568)","(54.229461467083674, 62.79177507618232)","(55.222478985367346, 63.19318876136913)","(14.69920931316589, -39.41971344476248)","(29.377954814333556, -38.019769318306906)","(3.004962418857421, -27.897695145853177)","(3.8450389120846693, -27.268331861045542)","(194.90613369408334, 177.5816336991598)","(186.33021105214564, 169.94143028941184)","(85.19188566181339, 51.809719341058596)","(116.29314611278338, 147.73246759069468)"
23,HAEW2,Haewene Brim - meetboei,57.160556,2.293056,"(94.02879533944045, -193.91205421095935)","(230.77541395671406, -407.96484548504804)","(49.394012455297215, -607.1949082577095)","(-33.55868461240172, 430.8062849265192)","(-32.616971301971255, 437.61363833570033)","(40.0809072411884, -316.22647351997415)","(63.287256795439234, -574.0721635088281)","(108.17335892798236, -338.4647916793255)","(150.677579915528, -256.92266090277764)","(-77.94487357460511, 2.721384634698788)","(0.0, 0.0)","(127.81107496359797, -496.2391619003638)","(112.33963428184609, -538.297864539181)","(41.38793213183523, -371.82738388497904)","(58.77306013619043, -438.5023081894428)","(85.02531736512083, -432.98036813227384)","(168.86402373072923, -394.06225500160497)","(88.80892977758634, -582.0844251431287)","(-64.07228894982163, 464.53148378796135)","(-68.7575228492566, 55.723558369095)","(67.2685662926699, -533.9453615255338)","(93.45109645882302, -195.65370034699234)","(62.73269920660791, -574.0722747037552)","(0.0, 0.0)","(58.367704767397655, -438.6590930360112)","(43.880219448992946, -596.6203819287389)","(45.520795125674255, -579.663155615444)","(92.95585331232701, -572.8046525400072)","(126.61638237871314, -519.3399079107704)","(110.33522424171932, -574.6616078149709)","(113.31386181388416, -511.2804996275729)","(114.24504939134223, -510.8790859423861)","(76.84766427369313, -613.4919881485177)","(90.66072832990382, -612.0920440220622)","(65.75514957907605, -601.9699698496084)","(66.54179553169979, -601.3406065648007)","(244.6423431602467, -396.49064100459543)","(236.65106317678632, -404.13084441434336)","(142.52698270541194, -522.2625553626966)","(171.01501153529395, -426.33980711306054)"
24,K133,K13 Alpha - meetboei,53.2156,3.21253,"(39.185428626145736, 244.74703882505185)","(181.09626718257775, 30.69424755096312)","(-10.557974217765386, -168.5358152216983)","(-90.96539467901592, 869.4653779625304)","(-89.92647919669919, 876.2727313717115)","(-18.350329830212807, 122.43261951603706)","(4.223462523299937, -135.41307047281694)","(52.9782057786072, 100.19430135668567)","(98.23043748771299, 181.73643213323354)","(-140.40704605614553, 441.38047767071)","(-58.367704767397655, 438.6590930360112)","(72.40974104538493, -57.580068864352604)","(55.88144242672349, -99.63877150316983)","(-17.356806870276667, 66.83170915103216)","(0.42626465111534945, 0.15678484656843328)","(28.001902209387598, 5.678724903737341)","(116.25023809375135, 44.59683803440622)","(30.908367785412608, -143.4253321071175)","(-123.01038035466397, 903.1905768239725)","(-130.41895461436013, 494.3826514051062)","(8.673005481623415, -95.28626848952264)","(38.56549251763794, 243.00539268901883)","(3.642394613601205, -135.41318166774403)","(-58.367704767397655, 438.6590930360112)","(0.0, 0.0)","(-16.262872796753246, -157.9612888927277)","(-14.42997195668037, -141.00406257943283)","(35.3193372425808, -134.14555950399597)","(70.98546615219772, -80.68081487475924)","(53.51618676630521, -136.00251477895978)","(57.10015242775009, -72.62140659156171)","(58.07926969820565, -72.2199929063749)","(18.156844289914623, -174.83289511250652)","(32.63577116081276, -173.43295098605094)","(6.616925110662745, -163.31087681359722)","(7.445339428864779, -162.68151352878957)","(195.74230122656778, 42.16845203141577)","(187.29304751865826, 34.52824862166781)","(87.64160694190666, -83.60346232668543)","(118.25340802589899, 12.319285922950648)"
25,BUBW,Buitenbanken west,51.79502,2.97225,"(55.711557372709485, 402.7083277177795)","(200.3118671548728, 188.6555364436908)","(5.814354445321231, -10.574526328970615)","(-77.92352652804362, 1027.4266668552582)","(-76.87867997967705, 1034.2340202644393)","(-2.6009085481059633, 280.39390840876473)","(20.778864499440317, 22.54821841991075)","(69.96276644273192, 258.15559024941336)","(115.85984132091568, 339.69772102596124)","(-127.38167479135163, 599.3417665634377)","(-43.880219448992946, 596.6203819287389)","(89.95200447052268, 100.3812200283751)","(73.2168642917735, 58.322517389557866)","(-1.4949582954578218, 224.79299804375984)","(16.695911617839283, 158.11807373929614)","(44.71788487839935, 163.64001379646504)","(134.37147737872075, 202.5581269271339)","(47.90705886455946, 14.53595678561021)","(-110.65341375636702, 1061.1518657167003)","(-117.32757086359914, 652.3439402978339)","(25.23485941842321, 62.67502040320505)","(55.08371510053982, 400.96668158174657)","(20.188417670461202, 22.548107224983667)","(-43.880219448992946, 596.6203819287389)","(16.262872796753246, 157.9612888927277)","(0.0, 0.0)","(1.8337784485048418, 16.95722631329486)","(52.374688903959076, 23.815729388731725)","(88.53833089702299, 77.28047401796846)","(70.86811912785853, 21.95877411376791)","(74.41475900329797, 85.33988230116599)","(75.40924100758559, 85.7412959863528)","(35.00022995725582, -16.871606219778815)","(49.70917886734514, -15.47166209332324)","(23.25646640513403, -5.349587920869513)","(24.09716709671643, -4.720224636061875)","(215.18784458402985, 200.12974092414348)","(206.60700413954683, 192.4895375143955)","(105.46989433327816, 74.35782656604226)","(136.4513218861005, 170.28057481567834)"
