,LocationCode,LocationDescription,CoordinateNB,CoordinateOL,A121,AWG1,"BSA (BSA1, BSA2)",BTA1,BTC1,D151 (D152),EPL1 (EPL2),F161,F31,GAN1,HAEW1,HKN,HKZA,J61 (J62),K131 (K132),K141,L91,LEG1 (LEG2),NC1,NLS1,P111 (P112),A122,EPL3,HAEW2,K133,BUBW,DWE1,E131,IJG1,MMND,MUN1,MUN2,OS11b,OS4b,SCB2,SCHB,SMN1,SMWG,SPY1,STM1
26,DWE1,Eurogeul DWE - meetboei,51.94752,2.99896,"(53.8518862765851, 385.7511014044847)","(198.16348556985986, 171.69831013039595)","(3.968818117012573, -27.531752642265474)","(-79.4069276648994, 1010.4694405419632)","(-78.36267408295, 1017.2767939511443)","(-4.378230992284908, 263.4366820954699)","(18.913942459330762, 5.590992106615891)","(68.0532731507422, 241.1983639361185)","(113.88186082218306, 322.74049471266636)","(-128.86588885209838, 582.3845402501428)","(-45.520795125674255, 579.663155615444)","(87.98202170792078, 83.42399371508023)","(71.26876161408644, 41.365291076263006)","(-3.2846139685784648, 207.83577173046498)","(14.862287496281382, 141.16084742600128)","(42.83657825195467, 146.6827874831702)","(132.34016097291317, 185.60090061383906)","(45.994709884821035, -2.421269527684649)","(-112.06335062743389, 1044.1946394034053)","(-118.81852786572266, 635.386713984539)","(23.369469282650744, 45.71779408991019)","(53.22487947709311, 384.0094552684517)","(18.324498139378463, 5.5908809116888065)","(-45.520795125674255, 579.663155615444)","(14.42997195668037, 141.00406257943283)","(-1.8337784485048418, -16.95722631329486)","(0.0, 0.0)","(50.45633434740644, 6.858503075436867)","(86.56708868425737, 60.323247704673605)","(68.91805299750283, 5.00154780047305)","(72.469029253801, 68.38265598787112)","(73.46187105440542, 68.78406967305794)","(33.104309150129566, -33.82883253307367)","(47.788679404475985, -32.4288884066181)","(21.382397194350172, -22.30681423416437)","(22.221788085488473, -21.677450949356736)","(213.01494313452494, 183.1725146108486)","(204.4481286290845, 175.53231120110064)","(103.46919526716675, 57.4006002527474)","(134.41163280747747, 153.32334850238348)"
27,E131,Eurogeul E13 - meetboei,52.0092,3.73564,"(5.332539455907649, 378.8925983290478)","(148.44111524905594, 164.8398070549591)","(-46.629548435636586, -34.39025571770234)","(-124.52803847597451, 1003.6109374665264)","(-123.44805110528694, 1010.4182908757075)","(-53.48657869110235, 256.578179020033)","(-31.52709238590172, -1.2675109688209762)","(18.7787599213656, 234.33986086068163)","(64.99348065650848, 315.88199163722953)","(-176.22361291800186, 575.526037174706)","(-92.95585331232701, 572.8046525400072)","(37.887924533714425, 76.56549063964337)","(20.97283737588284, 34.50678800082614)","(-52.67937771609144, 200.97726865502813)","(-34.88652533507438, 134.3023443505644)","(-6.903736737428955, 139.8242844077333)","(82.73530314032567, 178.7423975384022)","(-4.505508049333896, -9.279772603121517)","(-156.97638324161463, 1037.3361363279685)","(-165.90491328234384, 628.5282109091022)","(-26.87119896636194, 38.85929101447333)","(4.69697834821693, 377.1509521930148)","(-32.116131490517446, -1.2676221637480605)","(-92.95585331232701, 572.8046525400072)","(-35.3193372425808, 134.14555950399597)","(-52.374688903959076, -23.815729388731725)","(-50.45633434740644, -6.858503075436867)","(0.0, 0.0)","(36.35669739891748, 53.46474462923674)","(18.439613255670285, -1.8569552749638172)","(22.30934070088413, 61.52415291243425)","(23.303530168820284, 61.92556659762107)","(-17.54581537872774, -40.687335608510544)","(-2.8644217028273147, -39.287391482054964)","(-29.201484584910652, -29.16531730960124)","(-28.359487429024348, -28.5359540247936)","(163.34052523312107, 176.31401153541174)","(154.74084550932474, 168.67380812566378)","(53.23224407592354, 50.54209717731054)","(84.64065340297138, 146.46484542694662)"
28,IJG1,IJgeul 1 - meetboei,52.49002,4.2697,"(-29.642581570928918, 325.42785369981107)","(111.87447566410675, 111.37506242572235)","(-82.86331165152795, -87.85500034693908)","(-156.28632007969136, 950.1461928372896)","(-155.18574372544637, 956.9535462464708)","(-88.59040765515044, 203.1134343907963)","(-67.71884373114872, -54.73225559805771)","(-16.81325650999595, 180.8751162314449)","(29.44369955289052, 262.4172470079928)","(-209.38121142144632, 522.0612925454692)","(-126.61638237871314, 519.3399079107704)","(1.6076072676048254, 23.10074601040663)","(-15.370057050082911, -18.9579566284106)","(-87.99810910443203, 147.51252402579138)","(-70.55444709274485, 80.83759972132766)","(-42.704997797723394, 86.35953977849657)","(46.582534039325225, 125.27765290916545)","(-40.87218362836904, -62.744517232358255)","(-188.3911744385176, 983.8713916987317)","(-198.9126024557187, 575.0634662798655)","(-62.939021275097794, -14.605453614763409)","(-30.28105991018785, 323.68620756377805)","(-68.30471420075993, -54.7323667929848)","(-126.61638237871314, 519.3399079107704)","(-70.98546615219772, 80.68081487475924)","(-88.53833089702299, -77.28047401796846)","(-86.56708868425737, -60.323247704673605)","(-36.35669739891748, -53.46474462923674)","(0.0, 0.0)","(-18.023122916746463, -55.32169990420056)","(-13.941465215296226, 8.059408283197518)","(-12.951202583592726, 8.460821968384332)","(-53.95846287330956, -94.15208023774728)","(-39.35040490689061, -92.7521361112917)","(-65.50916278496825, -82.63006193883798)","(-64.66934467069723, -82.00069865403034)","(126.73257002394702, 122.849266906175)","(118.1531253637509, 115.20906349642704)","(16.773281390389375, -2.9226474519262022)","(48.35967503416997, 93.00010079770988)"
29,MMND,Maasmond Maasvlakte Noord - meetboei,51.9925,4.005,"(-12.396134176558327, 380.7495536040116)","(130.3368214756909, 166.6967623299229)","(-65.14144851046416, -32.53330044273852)","(-141.08083007539847, 1005.4678927414902)","(-139.9872885037844, 1012.2752461506713)","(-71.45762410663923, 258.43513429499683)","(-49.974934621480365, 0.589444306142841)","(0.7799544728935102, 236.19681613564546)","(47.15735707977517, 317.73894691219334)","(-193.6148522229755, 577.3829924496698)","(-110.33522424171932, 574.6616078149709)","(19.597625155219987, 78.42244591460718)","(2.60114461970754, 36.36374327578996)","(-70.75459243122891, 202.83422392999194)","(-53.08299970556973, 136.1592996255282)","(-25.08456235939953, 141.68123968269714)","(64.6444742774543, 180.599352813366)","(-22.9631449786559, -7.422817328157699)","(-173.47035042415484, 1039.1930916029323)","(-183.19264795103007, 630.385166184066)","(-45.24379183486159, 40.716246289437144)","(-13.035121137847229, 379.0079074679786)","(-50.56408381433349, 0.5893331112157568)","(-110.33522424171932, 574.6616078149709)","(-53.51618676630521, 136.00251477895978)","(-70.86811912785853, -21.95877411376791)","(-68.91805299750283, -5.00154780047305)","(-18.439613255670285, 1.8569552749638172)","(18.023122916746463, 55.32169990420056)","(0.0, 0.0)","(3.9881090453941597, 63.38110818739807)","(4.983232511156794, 63.78252187258489)","(-36.06395304343031, -38.83038033354672)","(-21.377251358172458, -37.43043620709115)","(-47.70049607231531, -27.308362034637423)","(-46.857179367155815, -26.678998749829784)","(145.2606197697417, 178.17096681037555)","(136.6449513927067, 170.5307634006276)","(34.896410012945346, 52.399052452274354)","(66.4897255045031, 148.32180070191043)"
30,MUN1,IJgeul Munitiestort 1 - meetboei,52.5625,4.06362,"(-16.144314271343053, 317.36844541661355)","(125.56255467527207, 103.31565414252483)","(-68.72945693959065, -95.91440863013659)","(-143.58756696419792, 942.0867845540921)","(-142.49812392619873, 948.8941379632732)","(-74.86511982034826, 195.0540261075988)","(-53.64406976112247, -62.79166388125523)","(-3.117070325900844, 172.8157079482474)","(42.98236690400866, 254.35783872479524)","(-196.0083120398413, 514.0018842622717)","(-113.31386181388416, 511.2804996275729)","(15.514748883583692, 15.041337727209113)","(-1.3889202771958582, -27.017364911608116)","(-74.19381897788723, 139.45311574259387)","(-56.6697166592425, 72.77819143813015)","(-28.85141346054133, 78.30013149529906)","(60.30533983351177, 117.21824462596794)","(-26.807989394035477, -70.80392551555578)","(-175.71116721514838, 975.8119834155342)","(-185.62559091678878, 567.0040579966679)","(-48.92496787332085, -22.664861897960925)","(-16.779711646327016, 315.62679928058054)","(-54.229461467083674, -62.79177507618232)","(-113.31386181388416, 511.2804996275729)","(-57.10015242775009, 72.62140659156171)","(-74.41475900329797, -85.33988230116599)","(-72.469029253801, -68.38265598787112)","(-22.30934070088413, -61.52415291243425)","(13.941465215296226, -8.059408283197518)","(-3.9881090453941597, -63.38110818739807)","(0.0, 0.0)","(0.9888728771729405, 0.4014136851868151)","(-39.83920116818553, -102.2114885209448)","(-25.244980362295642, -100.81154439448922)","(-51.39678297183867, -90.6894702220355)","(-50.55853626214638, -90.06010693722786)","(140.3914880415752, 114.78985862297748)","(131.83036351583235, 107.14965521322952)","(30.705099594944414, -10.98205573512372)","(62.12756884140871, 84.94069251451236)"
31,MUN2,IJgeul Munitiestort 2 - meetboei,52.56611,4.07825,"(-17.100010686521028, 316.96703173142674)","(124.57893332707751, 102.91424045733802)","(-69.72524057590955, -96.31582231532342)","(-144.47140864927596, 941.6853708689052)","(-143.38128268859927, 948.4927242780864)","(-75.8309236239218, 194.65261242241195)","(-54.63711111213223, -63.19307756644205)","(-4.088201622493177, 172.41429426306055)","(42.01763112211305, 253.95642503960843)","(-196.93550998876904, 513.6004705770848)","(-114.24504939134223, 510.8790859423861)","(14.526761532427509, 14.639924042022297)","(-2.3804729190137977, -27.41877859679493)","(-75.16537257974463, 139.05170205740706)","(-57.64883582884936, 72.37677775294333)","(-29.83112757473512, 77.89871781011225)","(59.32586227784677, 116.81683094078112)","(-27.802934215798356, -71.20533920074259)","(-176.5898073957233, 975.4105697303474)","(-186.54763720276725, 566.6026443114811)","(-49.91413102338924, -23.066275583147743)","(-17.735560591954986, 315.22538559539373)","(-55.222478985367346, -63.19318876136913)","(-114.24504939134223, 510.8790859423861)","(-58.07926969820565, 72.2199929063749)","(-75.40924100758559, -85.7412959863528)","(-73.46187105440542, -68.78406967305794)","(-23.303530168820284, -61.92556659762107)","(12.951202583592726, -8.460821968384332)","(-4.983232511156794, -63.78252187258489)","(-0.9888728771729405, -0.4014136851868151)","(0.0, 0.0)","(-40.83679144822646, -102.61290220613161)","(-26.243020023458488, -101.21295807967604)","(-52.39274035886158, -91.0908839072223)","(-51.55446397550686, -90.46152062241467)","(139.4084058909652, 114.38844493779067)","(130.84686753469185, 106.74824152804271)","(29.713852542330006, -11.383469420310535)","(61.14473664386194, 84.53927882932555)"
32,OS11b,Oosterschelde 11 (b),51.64329,3.480331,"(22.230224794700323, 419.57993393755834)","(166.31934109388655, 205.52714266346962)","(-29.212908194917368, 6.297079890808201)","(-109.39327435158462, 1044.2982730750368)","(-108.32139656802633, 1051.105626484218)","(-36.62141119049503, 297.2655146285436)","(-14.10776566695221, 39.419824639689566)","(35.99084263987984, 275.0271964691922)","(82.26010601689025, 356.56932724574006)","(-160.4942187599236, 616.2133727832165)","(-76.84766427369313, 613.4919881485177)","(55.45596045109891, 117.25282624815391)","(38.54426844253772, 75.19412360933669)","(-35.709998746427424, 241.66460426353865)","(-17.7225067341949, 174.98967995907495)","(10.36728532727235, 180.51162001624385)","(100.31412799493687, 219.42973314691272)","(13.038186537578332, 31.407563005389026)","(-142.06510021084705, 1078.023471936479)","(-150.23199453948152, 669.2155465176127)","(-9.503944584232626, 79.54662662298387)","(21.595017321164526, 417.8382878015254)","(-14.69920931316589, 39.41971344476248)","(-76.84766427369313, 613.4919881485177)","(-18.156844289914623, 174.83289511250652)","(-35.00022995725582, 16.871606219778815)","(-33.104309150129566, 33.82883253307367)","(17.54581537872774, 40.687335608510544)","(53.95846287330956, 94.15208023774728)","(36.06395304343031, 38.83038033354672)","(39.83920116818553, 102.2114885209448)","(40.83679144822646, 102.61290220613161)","(0.0, 0.0)","(14.738500356901099, 1.399944126455575)","(-11.72330897746947, 11.522018298909302)","(-10.879001987057494, 12.15138158371694)","(181.26221853743704, 217.0013471439223)","(172.63911574281923, 209.36114373417433)","(70.90854917151132, 91.22943278582107)","(102.28271707542237, 187.15218103545715)"
33,OS4b,Oosterschelde 4 (b),51.65588,3.693954,"(8.109713332503743, 418.17998981110276)","(151.8593466806923, 204.12719853701407)","(-43.938140525796655, 4.897135764352626)","(-122.53922760268937, 1042.8983289485814)","(-121.45694071365645, 1049.7056823577625)","(-50.91601050211617, 295.865570502088)","(-28.78659364578613, 38.01988051323399)","(21.652601466620908, 273.6272523427366)","(68.03650054466866, 355.1693831192845)","(-174.2903078667824, 614.813428656761)","(-90.66072832990382, 612.0920440220622)","(40.88165523557856, 115.85288212169833)","(23.910538924020077, 73.7941794828811)","(-50.087406543258844, 240.2646601370831)","(-32.20126389197394, 173.58973583261937)","(-4.107323946475289, 179.11167588978827)","(85.8841658355774, 218.02978902045714)","(-1.6561715279136142, 30.00761887893345)","(-155.1531485158949, 1076.6235278100235)","(-163.94897530046856, 667.8156023911571)","(-24.124526905725578, 78.1466824965283)","(7.471990147343118, 416.4383436750698)","(-29.377954814333556, 38.019769318306906)","(-90.66072832990382, 612.0920440220622)","(-32.63577116081276, 173.43295098605094)","(-49.70917886734514, 15.47166209332324)","(-47.788679404475985, 32.4288884066181)","(2.8644217028273147, 39.287391482054964)","(39.35040490689061, 92.7521361112917)","(21.377251358172458, 37.43043620709115)","(25.244980362295642, 100.81154439448922)","(26.243020023458488, 101.21295807967604)","(-14.738500356901099, -1.399944126455575)","(0.0, 0.0)","(-26.44332773315037, 10.122074172453727)","(-25.598217243763433, 10.751437457261364)","(166.81702334887302, 215.6014030174667)","(158.18387539882679, 207.96119960771875)","(56.293809186697544, 89.8294886593655)","(87.8047702124563, 185.7522369090016)"
34,SCB2,Schouwenbank 2 - meetboei,51.74691,3.31024,"(33.43134208158035, 408.05791563864904)","(177.60519548600232, 194.00512436456032)","(-17.46350914777561, -5.224938408101101)","(-98.77574871692372, 1032.7762547761276)","(-97.71357309119779, 1039.5836081853088)","(-25.203582762902084, 285.7434963296343)","(-2.414199275399571, 27.897806340780264)","(47.348083013377355, 263.5051781702829)","(93.46391927998474, 345.04730894683075)","(-149.29920800015802, 604.6913544843072)","(-65.75514957907605, 601.9699698496084)","(66.97759850983485, 105.7308079492446)","(50.13519208356312, 63.672105310427376)","(-24.227819778065548, 230.14258596462935)","(-6.183282326692626, 163.46766166016565)","(21.86696627240929, 168.98960171733455)","(111.66131020087208, 207.90771484800342)","(24.70989769768482, 19.885544706479724)","(-131.44381320454426, 1066.5014536375697)","(-139.1123941605345, 657.6935282187034)","(2.137486009840182, 68.02460832407456)","(32.798999706011124, 406.3162695026161)","(-3.004962418857421, 27.897695145853177)","(-65.75514957907605, 601.9699698496084)","(-6.616925110662745, 163.31087681359722)","(-23.25646640513403, 5.349587920869513)","(-21.382397194350172, 22.30681423416437)","(29.201484584910652, 29.16531730960124)","(65.50916278496825, 82.63006193883798)","(47.70049607231531, 27.308362034637423)","(51.39678297183867, 90.6894702220355)","(52.39274035886158, 91.0908839072223)","(11.72330897746947, -11.522018298909302)","(26.44332773315037, -10.122074172453727)","(0.0, 0.0)","(0.8426077510806198, 0.629363284807637)","(192.5164762853008, 205.479328845013)","(183.91285203289928, 197.839125435265)","(82.44303974817234, 79.70741448691177)","(113.66626688556529, 175.63016273654785)"
35,SCHB,Schouwenbank - meetboei,51.75257,3.32248,"(32.62115122996007, 407.42855235384144)","(176.76747636664305, 193.3757610797527)","(-18.305461964760557, -5.854301692908739)","(-99.5217122061817, 1032.14689149132)","(-98.45900139806321, 1038.9542449005012)","(-26.02035779014987, 285.11413304482664)","(-3.2543129369855626, 27.268443055972625)","(46.524661489521634, 262.8758148854752)","(92.64436719866636, 344.4179456620231)","(-150.07983741409473, 604.0619911994995)","(-66.54179553169979, 601.3406065648007)","(66.13962020788416, 105.10144466443697)","(49.29476242116715, 63.042742025619745)","(-25.049410613248224, 229.51322267982172)","(-7.011711246573416, 162.838298375358)","(21.037199557694947, 168.3602384325269)","(110.82901850461928, 207.2783515631958)","(23.867406001181465, 19.256181421672085)","(-132.18428969349043, 1065.8720903527621)","(-139.8890289290171, 657.0641649338958)","(1.3004609330025927, 67.39524503926692)","(31.988702119608732, 405.6869062178084)","(-3.8450389120846693, 27.268331861045542)","(-66.54179553169979, 601.3406065648007)","(-7.445339428864779, 162.68151352878957)","(-24.09716709671643, 4.720224636061875)","(-22.221788085488473, 21.677450949356736)","(28.359487429024348, 28.5359540247936)","(64.66934467069723, 82.00069865403034)","(46.857179367155815, 26.678998749829784)","(50.55853626214638, 90.06010693722786)","(51.55446397550686, 90.46152062241467)","(10.879001987057494, -12.15138158371694)","(25.598217243763433, -10.751437457261364)","(-0.8426077510806198, -0.629363284807637)","(0.0, 0.0)","(191.67874416364603, 204.84996556020533)","(183.07504317500812, 197.20976215045738)","(81.6019025711441, 79.07805120210413)","(112.83114450219422, 175.00079945174022)"
36,SMN1,Schiermonnikoog Noord - meetboei,53.59483,6.16539,"(-151.63833182731233, 202.57858679363608)","(-14.817051479416255, -11.474204480452649)","(-209.7243404517721, -210.70426725311407)","(-267.8115963638323, 827.2969259311146)","(-266.6298021710756, 834.1042793402958)","(-211.4676710230735, 80.2641674846213)","(-194.3275824556029, -177.5815225042327)","(-140.92383240110726, 58.025849325269895)","(-94.18068013461551, 139.56798010181777)","(-326.2327530963199, 399.2120256392942)","(-244.6423431602467, 396.49064100459543)","(-124.83972337844303, -99.74852089576837)","(-142.1599264587875, -141.8072235345856)","(-211.63598338069502, 24.663257119616382)","(-195.31468201074702, -42.01166718484733)","(-167.74710608311915, -36.48972712767843)","(-79.0871741312061, 2.428386002990454)","(-167.9225909352171, -185.59378413853327)","(-298.95659134226713, 861.0221247925567)","(-315.16102568485286, 452.2141993736904)","(-189.07301169384158, -137.4547205209384)","(-152.29189456677477, 200.83694065760307)","(-194.90613369408334, -177.5816336991598)","(-244.6423431602467, 396.49064100459543)","(-195.74230122656778, -42.16845203141577)","(-215.18784458402985, -200.12974092414348)","(-213.01494313452494, -183.1725146108486)","(-163.34052523312107, -176.31401153541174)","(-126.73257002394702, -122.849266906175)","(-145.2606197697417, -178.17096681037555)","(-140.3914880415752, -114.78985862297748)","(-139.4084058909652, -114.38844493779067)","(-181.26221853743704, -217.0013471439223)","(-166.81702334887302, -215.6014030174667)","(-192.5164762853008, -205.479328845013)","(-191.67874416364603, -204.84996556020533)","(0.0, 0.0)","(-8.568924123271248, -7.640203409747959)","(-110.20927308289059, -125.7719143581012)","(-77.75905650669607, -29.84916610846512)"
37,SMWG,Schiermonnikoog Westgat - meetboei,53.52612,6.03565,"(-143.38246801697574, 210.21879020338403)","(-6.249702655093922, -3.83400107070469)","(-201.1294019128029, -203.0640638433661)","(-260.2639537833863, 834.9371293408626)","(-259.0878339527776, 841.7444827500437)","(-203.14622452654984, 87.90437089436925)","(-185.75120305276212, -169.94131909448475)","(-132.52351278771414, 65.66605273501786)","(-85.81773792666591, 147.20818351156572)","(-318.3149803575838, 406.8522290490422)","(-236.65106317678632, 404.13084441434336)","(-116.28005135349927, -92.10831748602041)","(-133.57528923908262, -134.16702012483765)","(-203.26228908246952, 32.303460529364344)","(-186.86522957649782, -34.37146377509938)","(-159.2805373204409, -28.849523717930467)","(-70.58478198719513, 10.068589412738412)","(-159.31796699328407, -177.95358072878528)","(-291.4718344893871, 868.6623282023047)","(-307.2855263660408, 459.8544027834384)","(-180.52967594810838, -129.81451711119044)","(-144.03493844578813, 208.47714406735105)","(-186.33021105214564, -169.94143028941184)","(-236.65106317678632, 404.13084441434336)","(-187.29304751865826, -34.52824862166781)","(-206.60700413954683, -192.4895375143955)","(-204.4481286290845, -175.53231120110064)","(-154.74084550932474, -168.67380812566378)","(-118.1531253637509, -115.20906349642704)","(-136.6449513927067, -170.5307634006276)","(-131.83036351583235, -107.14965521322952)","(-130.84686753469185, -106.74824152804271)","(-172.63911574281923, -209.36114373417433)","(-158.18387539882679, -207.96119960771875)","(-183.91285203289928, -197.839125435265)","(-183.07504317500812, -197.20976215045738)","(8.568924123271248, 7.640203409747959)","(0.0, 0.0)","(-101.61397876113483, -118.13171094835324)","(-69.22587381048123, -22.208962698717162)"
38,SPY1,IJgeul stroommeetpaal,52.463736,4.517361,"(-45.86197779274623, 328.35050115173726)","(95.32677972723185, 114.29770987764856)","(-99.81119400306923, -84.93235289501287)","(-171.44054822934666, 953.0688402892158)","(-170.32734420851304, 959.876193698397)","(-105.04077732053732, 206.0360818427225)","(-84.60584149961765, -51.80960814613151)","(-33.279993733841835, 183.7977636833711)","(13.132936715041335, 265.339894459919)","(-225.31396987188322, 524.9839399973954)","(-142.52698270541194, 522.2625553626966)","(-15.125567361785938, 26.023393462332834)","(-32.18039404052466, -16.035309176484397)","(-104.54435309964259, 150.43517147771757)","(-87.21018789445579, 83.76024717325387)","(-59.34280627751707, 89.28218723042278)","(30.039004117335242, 128.20030036109165)","(-57.76490024613736, -59.82186978043205)","(-203.49601311537114, 986.7940391506579)","(-214.74875836734682, 577.9861137317916)","(-79.75608777792962, -11.682806162837206)","(-46.50369738323925, 326.6088550157043)","(-85.19188566181339, -51.809719341058596)","(-142.52698270541194, 522.2625553626966)","(-87.64160694190666, 83.60346232668543)","(-105.46989433327816, -74.35782656604226)","(-103.46919526716675, -57.4006002527474)","(-53.23224407592354, -50.54209717731054)","(-16.773281390389375, 2.9226474519262022)","(-34.896410012945346, -52.399052452274354)","(-30.705099594944414, 10.98205573512372)","(-29.713852542330006, 11.383469420310535)","(-70.90854917151132, -91.22943278582107)","(-56.293809186697544, -89.8294886593655)","(-82.44303974817234, -79.70741448691177)","(-81.6019025711441, -79.07805120210413)","(110.20927308289059, 125.7719143581012)","(101.61397876113483, 118.13171094835324)","(0.0, 0.0)","(31.76092057914009, 95.92274824963609)"
39,STM1,Stortemelk - meetboei,53.32639,4.99083,"(-76.05502687325166, 232.4277529021012)","(62.98952570478325, 18.37496162801247)","(-130.88389337703188, -180.85510114464896)","(-198.00169512410415, 857.1460920395797)","(-196.87538261602168, 863.9534454487608)","(-135.05129868489306, 110.11333359308641)","(-115.71281207298846, -147.7323563957676)","(-64.0950359581106, 87.87501543373502)","(-17.881550462291695, 169.41714621028288)","(-252.90545328104662, 429.0611917477593)","(-171.01501153529395, 426.33980711306054)","(-46.65141379113936, -69.89935478730325)","(-63.678739355805334, -111.95805742612048)","(-134.75465738011752, 54.5124232280815)","(-117.8257447402589, -12.162501076382215)","(-90.21712005042595, -6.640561019213308)","(-1.599244673689997, 32.27755211145557)","(-89.16045589859391, -155.74461803006812)","(-229.55745157687414, 890.8712909010219)","(-242.25280069796997, 482.0633654821555)","(-110.77327646555659, -107.6055544124733)","(-76.69608061869442, 230.6861067660682)","(-116.29314611278338, -147.73246759069468)","(-171.01501153529395, 426.33980711306054)","(-118.25340802589899, -12.319285922950648)","(-136.4513218861005, -170.28057481567834)","(-134.41163280747747, -153.32334850238348)","(-84.64065340297138, -146.46484542694662)","(-48.35967503416997, -93.00010079770988)","(-66.4897255045031, -148.32180070191043)","(-62.12756884140871, -84.94069251451236)","(-61.14473664386194, -84.53927882932555)","(-102.28271707542237, -187.15218103545715)","(-87.8047702124563, -185.7522369090016)","(-113.66626688556529, -175.63016273654785)","(-112.83114450219422, -175.00079945174022)","(77.75905650669607, 29.84916610846512)","(69.22587381048123, 22.208962698717162)","(-31.76092057914009, -95.92274824963609)","(0.0, 0.0)"
